Entity,Code,Year,"GDP per capita, PPP (constant 2011 international $)","Per capita CO2 emissions","Per capita consumption-based CO2 emissions",Total_CO2_emission,Total_population
Germany,DEU,1964,,12.803328429724697,,968917485.576276,75677000
Germany,DEU,1965,,12.59018382329527,,960102237.9968507,76258000
Germany,DEU,1966,,12.385081913204495,,951421992.5723693,76820000
Germany,DEU,1967,,12.102711037442825,,936229417.7234646,77357000
Germany,DEU,1968,,12.65033736959032,,984790813.2104976,77847000
Germany,DEU,1969,,13.442210446864303,,1052000831.7820473,78261000
Germany,DEU,1970,,13.057373631641006,,1026022305.227087,78578000
Germany,DEU,1971,,13.164565134179469,,1037236086.9220004,78790000
Germany,DEU,1972,,13.199659177973478,,1041479508.4604634,78902000
Germany,DEU,1973,,13.755336879434154,,1085736250.5674965,78932000
Germany,DEU,1974,,13.467549607455032,,1062724339.5242766,78910000
Germany,DEU,1975,,12.712334978293889,,1002443887.048343,78856000
Germany,DEU,1976,,13.846266150220659,,1090836539.846684,78782000
Germany,DEU,1977,,13.377103024007317,,1052604105.6500638,78687000
Germany,DEU,1978,,13.733897117577477,,1079127232.1165328,78574000
Germany,DEU,1979,,14.25179284637366,,1117882127.283857,78438000
Germany,DEU,1980,,14.052341498731622,,1100059449.5452075,78283000
Germany,DEU,1981,,13.42393363481396,,1048516608.3480488,78108000
Germany,DEU,1982,,13.034505198563048,,1015726852.103224,77926000
Germany,DEU,1983,,13.007550413772256,,1011597195.6790683,77770000
Germany,DEU,1984,,13.30084996589606,,1033236627.0507377,77682000
Germany,DEU,1985,,13.439093936033697,,1044110086.0783299,77692000
Germany,DEU,1986,,13.462499569325189,,1047463241.4909157,77806000
Germany,DEU,1987,,13.233616765806861,,1032433845.6011881,78016000
Germany,DEU,1988,,13.140603049431284,,1029014343.594865,78308000
Germany,DEU,1989,,12.824580076256517,,1008781468.7983376,78660000
Germany,DEU,1990,31287.0698103409,13.313938994257297,14.683651474534477,1052520133.2520164,79054000
Germany,DEU,1991,32646.5618381478,12.761696762900446,14.46050847073295,1014440037.3797194,79491000
Germany,DEU,1992,33022.5755518938,12.0827978656912,13.76680306800775,966176765.7342654,79963000
Germany,DEU,1993,32492.5185329959,11.89269378866806,13.744952976210161,956517468.7287834,80429000
Germany,DEU,1994,33175.7085774638,11.627780149803504,13.633087720128325,939908352.8490666,80833000
Germany,DEU,1995,33653.1296358835,11.579423379433013,13.792614830951104,939542833.5838152,81139000
Germany,DEU,1996,33830.3056593287,11.79979277005055,13.666702460443233,959606347.2315909,81324000
Germany,DEU,1997,34405.5192090796,11.446704961765748,13.217427983909586,931750337.1827701,81399000
Germany,DEU,1998,35081.304207874,11.3487672152136,13.287408665370005,923823697.6200327,81403000
Germany,DEU,1999,35755.2993074406,11.01256410245681,12.990458673506915,896312592.2989599,81390000
Germany,DEU,2000,36764.5629268974,11.060997527111205,12.977905848865582,900376259.7043792,81401000
Germany,DEU,2001,37325.0525470646,11.25681393036827,13.001824362865177,916912521.8842171,81454000
Germany,DEU,2002,37262.3512875562,11.042954512743306,12.674858837134437,900387296.1965255,81535000
Germany,DEU,2003,36977.3460076486,11.044787948992381,13.00640724124694,901409323.6690642,81614000
Germany,DEU,2004,37418.0924996579,10.869582691634179,13.008470461327969,887457948.4411641,81646000
Germany,DEU,2005,37703.9329399406,10.620203881017966,12.748396942542502,866640497.3027091,81603000
Germany,DEU,2006,39143.1662435764,10.77764707784412,13.09514216620641,878076462.7261162,81472000
Germany,DEU,2007,40473.5274498896,10.475386923614828,12.475001549115222,851418498.377566,81278000
Germany,DEU,2008,40989.4431148599,10.531806392020348,12.36169705405395,853771416.9755216,81066000
Germany,DEU,2009,38784.4524824906,9.751835771858458,11.547866808525585,788923513.9433492,80900000
Germany,DEU,2010,40428.7210307617,10.29838642946372,12.096413264211744,832387679.9342642,80827000
Germany,DEU,2011,42692.5197566424,10.014699543433203,12.02601987203736,809748546.283835,80856000
Germany,DEU,2012,42822.0994035797,10.054437631742266,11.413516780434946,814137978.3550665,80973000
Germany,DEU,2013,42914.4761126655,10.24429440681428,11.37353970397945,831570354.1787424,81174000
Germany,DEU,2014,43560.6192440775,9.733495216273147,10.948019963800705,792793185.3654478,81450000
Germany,DEU,2015,43937.9471317278,9.731858963360104,10.840365494731406,795939549.0363328,81787000
Germany,DEU,2016,44431.8228379944,9.753203752395347,10.8350445597293,801654829.2243831,82194000
Germany,DEU,2017,45229.2452947032,9.653831451755481,10.82575727330927,797966400.1392046,82658000
Germany,DEU,2018,,9.130960322189395,,759001945.8216712,83124000
India,IND,1858,,0.0021449339699421166,,436016,203277120
India,IND,1859,,0.0034464438089663037,,703488,204119968
India,IND,1860,,0.003467965153921105,,710816,204966304
India,IND,1861,,0.0026703216256638196,,549600,205817904
India,IND,1862,,0.002942903081687276,,608224,206674832
India,IND,1863,,0.003248460342664151,,674176,207537088
India,IND,1864,,0.0030591245726104476,,637536,208404720
India,IND,1865,,0.002993839383601965,,626544,209277760
India,IND,1866,,0.003364887256444044,,707152,210156224
India,IND,1878,,0.00883249378196982,,1952911.9999999998,221105392
India,IND,1879,,0.008348991505174583,,1853984.0000000002,222060832
India,IND,1880,,0.009298809206605977,,2073824.0000000002,223020384
India,IND,1881,,0.00903016971644204,,2022527.9999999998,223974528
India,IND,1882,,0.010685335560535558,,2403584,224942304
India,IND,1883,,0.011871974913806224,,2682048,225914224
India,IND,1884,,0.013161737218143232,,2986160,226881904
India,IND,1885,,0.011834803988516567,,2696704,227862160
India,IND,1886,,0.013224857536023779,,3026464,228846624
India,IND,1887,,0.014587255541552428,,3352560,229828016
India,IND,1888,,0.01612775770488194,,3722623.9999999995,230820928
India,IND,1889,,0.018887566472804335,,4378480,231818112
India,IND,1890,,0.020742035171749128,,4829152.000000001,232819584
India,IND,1891,,0.02223546819629612,,5199216,233825344
India,IND,1892,,0.02432416504084733,,5712176.000000001,234835440
India,IND,1893,,0.025493437622047983,,6012624.000000001,235849872
India,IND,1894,,0.025894249174107698,,6133536,236868656
