Entity,Code,Year,month,dates,Total_Meat_Consumption
Indonesia,IDN,1963,January,January-1963,363907449.99999994
Indonesia,IDN,1964,January,January-1964,377700390
Indonesia,IDN,1965,January,January-1965,383019939.99999994
Indonesia,IDN,1966,January,January-1966,383253000
Indonesia,IDN,1967,January,January-1967,380058939.99999994
Indonesia,IDN,1968,January,January-1968,400310399.99999994
Indonesia,IDN,1969,January,January-1969,405685169.99999994
Indonesia,IDN,1970,January,January-1970,435065470.00000006
Indonesia,IDN,1971,January,January-1971,465625999.99999994
Indonesia,IDN,1972,January,January-1972,497379870.00000006
Indonesia,IDN,1973,January,January-1973,500525999.99999994
Indonesia,IDN,1974,January,January-1974,533898179.9999998
Indonesia,IDN,1975,January,January-1975,542326149.9999999
Indonesia,IDN,1976,January,January-1976,574718429.9999999
Indonesia,IDN,1977,January,January-1977,577940380
Indonesia,IDN,1978,January,January-1978,583581299.9999999
Indonesia,IDN,1979,January,January-1979,652365299.9999999
Indonesia,IDN,1980,January,January-1980,681209760
Indonesia,IDN,1981,January,January-1981,732049300
Indonesia,IDN,1982,January,January-1982,766161280
Indonesia,IDN,1983,January,January-1983,902231344.32
Indonesia,IDN,1984,January,January-1984,977214198.4
Indonesia,IDN,1985,January,January-1985,1062484079.9999999
Indonesia,IDN,1986,January,January-1986,1146626940
Indonesia,IDN,1987,January,January-1987,1191618875.52
Indonesia,IDN,1988,January,January-1988,1265076480
Indonesia,IDN,1989,January,January-1989,1350824159.36
Indonesia,IDN,1990,January,January-1990,1478515884.8
Indonesia,IDN,1991,January,January-1991,1594874879.9999998
Indonesia,IDN,1992,January,January-1992,1708434000
Indonesia,IDN,1993,January,January-1993,1864614348.1599998
Indonesia,IDN,1994,January,January-1994,2007040867.2
Indonesia,IDN,1995,January,January-1995,1943738580.0000002
Indonesia,IDN,1996,January,January-1996,2092963386.24
Indonesia,IDN,1997,January,January-1997,2105333880.0000002
Indonesia,IDN,1998,January,January-1998,1746605182.0800002
Indonesia,IDN,1999,January,January-1999,1660575463.68
Indonesia,IDN,2000,January,January-2000,1770372180.0000002
Indonesia,IDN,2001,January,January-2001,1863370699.52
Indonesia,IDN,2002,January,January-2002,2108372599.9999998
Indonesia,IDN,2003,January,January-2003,2216308459.52
Indonesia,IDN,2004,January,January-2004,2351201580
Indonesia,IDN,2005,January,January-2005,2271941479.68
Indonesia,IDN,2006,January,January-2006,2520204819.9999995
Indonesia,IDN,2007,January,January-2007,2525905380
Indonesia,IDN,2008,January,January-2008,2649037500
Indonesia,IDN,2009,January,January-2009,2756072457.6
Indonesia,IDN,2010,January,January-2010,2979394880
Indonesia,IDN,2011,January,January-2011,3152191760.0000005
Indonesia,IDN,2012,January,January-2012,3222422440
Indonesia,IDN,2013,January,January-2013,3409439591.6800003
Indonesia,IDN,2014,January,January-2014,2640574800.0000005
Indonesia,IDN,2015,January,January-2015,2728524564.48
Indonesia,IDN,2016,January,January-2016,3068051879.9999995
Indonesia,IDN,2017,January,January-2017,3093770283.5200005
Iran,IRN,1961,January,January-1961,319890400
Iran,IRN,1962,January,January-1962,333837370
Iran,IRN,1963,January,January-1963,314707200
Iran,IRN,1964,January,January-1964,316976320
Iran,IRN,1965,January,January-1965,319174450
Iran,IRN,1966,January,January-1966,322606160
Iran,IRN,1967,January,January-1967,348713499.99999994
Iran,IRN,1968,January,January-1968,364945500
Iran,IRN,1969,January,January-1969,387044100
Iran,IRN,1970,January,January-1970,411742160.00000006
Iran,IRN,1971,January,January-1971,426638740
Iran,IRN,1972,January,January-1972,451125000
Iran,IRN,1973,January,January-1973,461735640
Iran,IRN,1974,January,January-1974,488868680
Iran,IRN,1975,January,January-1975,536772000.00000006
Iran,IRN,1976,January,January-1976,593043720.0000001
Iran,IRN,1977,January,January-1977,676570320
Iran,IRN,1978,January,January-1978,726771810
Iran,IRN,1979,January,January-1979,724259650
Iran,IRN,1980,January,January-1980,810104000
