per_capita_land_use,Total_land_use,Entity,Code,Year,Bovine_meat,Poultry_meat,Pigmeat,Mutton_Goat,Meat_Other,TOTAL_meat_consumed_per_capita,Total_population,Total_Meat_Consumption,month,dates
8487.609524371861,188042989012.4586,Australia,AUS,2010,37.25,40.13,22.34,10.08,2.15,111.95,22155000,2480252250,January,January-2010
9018.020438059,203248144632.97375,Australia,AUS,2011,41.37,45.26,23.09,9.06,2.33,121.11,22538000,2729577180,January,January-2011
8218.6499618955,188239958727.25455,Australia,AUS,2012,35.51,45.58,24.15,9.85,2.24,117.33,22904000,2687326320,January,January-2012
7956.07892444362,185018615387.93637,Australia,AUS,2013,33.86,46.12,24.14,9.87,2.23,116.22,23255000,2702696100,January,January-2013
8234.287655892142,194296251528.43097,Australia,AUS,2014,35.38,46.73,25.08,9.95,2.33,119.47,23596000,2819014120,January,January-2014
8541.445969091601,204413884932.3002,Australia,AUS,2015,37.09,47.21,26.63,9.99,2.33,123.25,23932000,2949619000,January,January-2015
8562.269443024981,207746343496.1151,Australia,AUS,2016,37.21,47.42,26.1,10.02,2.29,123.03999999999999,24263000,2985319520,January,January-2016
8324.06127519356,204647046450.6337,Australia,AUS,2017,35.7,47.65,25.92,10.07,2.26,121.60000000000001,24585000,2989536000,January,January-2017
3072.6240015448598,228329762178.80008,Brazil,BRA,1961,17.59,1.73,7.01,0.57,0.6,27.5,74311000,2043552500,January,January-1961
2990.2429828428403,228795451589.2371,Brazil,BRA,1962,17.03,1.78,7.5,0.59,0.58,27.48,76514000,2102604720,January,January-1962
2937.711955493,231412383870.05008,Brazil,BRA,1963,16.72,2.08,7.13,0.59,0.59,27.109999999999996,78773000,2135536029.9999998,January,January-1963
2995.4121939077404,242823089499.13098,Brazil,BRA,1964,17.06,2.14,6.95,0.61,0.56,27.319999999999997,81065000,2214695799.9999995,January,January-1964
2960.52480717254,246830795273.20334,Brazil,BRA,1965,16.79,2.65,6.97,0.64,0.54,27.589999999999996,83374000,2300288659.9999995,January,January-1965
2857.3454273665,244865931089.02698,Brazil,BRA,1966,16.15,2.77,7.56,0.61,0.51,27.599999999999998,85697000,2365237200,January,January-1966
2918.9865040447394,256975895870.08267,Brazil,BRA,1967,16.56,3.04,7.41,0.58,0.46,28.049999999999997,88036000,2469409799.9999995,January,January-1967
3097.9463041173804,280014072590.2576,Brazil,BRA,1968,17.58,3.19,7.77,0.62,0.4,29.56,90387000,2671839720,January,January-1968
3186.1773507994208,295508390754.5939,Brazil,BRA,1969,18.14,3.55,7.59,0.6,0.32,30.200000000000003,92747000,2800959400.0000005,January,January-1969
3126.31622432408,297353315044.1362,Brazil,BRA,1970,17.75,3.94,7.88,0.59,0.3,30.46,95113000,2897141980,January,January-1970
2934.41314759496,286055396866.99945,Brazil,BRA,1971,16.56,3.87,8.04,0.6,0.22,29.29,97483000,2855277070,January,January-1971
3238.9585045621807,323439157307.0748,Brazil,BRA,1972,18.48,4.33,7.57,0.56,0.12,31.060000000000002,99859000,3101620540,January,January-1972
3408.0789995134996,348506750411.251,Brazil,BRA,1973,19.54,5.08,6.67,0.56,0.14,31.99,102259000,3271265410,January,January-1973
3269.2269672749003,342307678835.4857,Brazil,BRA,1974,18.67,5.22,6.74,0.57,0.11,31.310000000000002,104706000,3278344860,January,January-1974
3365.09063655696,360791557689.091,Brazil,BRA,1975,19.24,5.09,6.89,0.58,0.13,31.929999999999996,107216000,3423406879.9999995,January,January-1975
3510.0022062489397,385366652226.27734,Brazil,BRA,1976,20.11,5.43,6.89,0.58,0.18,33.19,109791000,3643963289.9999995,January,January-1976
3486.9755835708,392023229982.9472,Brazil,BRA,1977,20.03,6.02,7.15,0.49,0.11,33.800000000000004,112425000,3799965000.0000005,January,January-1977
3790.8595765170403,436407545308.2182,Brazil,BRA,1978,21.94,7.11,7.18,0.4,0.12,36.75,115121000,4230696750,January,January-1978
3861.7368934831,455213821530.00085,Brazil,BRA,1979,22.25,8.72,7.47,0.43,0.16,39.029999999999994,117878000,4600778339.999999,January,January-1979
3911.8956642234207,472142335297.78156,Brazil,BRA,1980,22.48,10.07,7.95,0.42,0.08,41,120694000,4948454000,January,January-1980
3856.9173331810603,476599274861.1836,Brazil,BRA,1981,22.19,9.82,7.76,0.4,0.07,40.24,123570000,4972456800,January,January-1981
3673.0629666310806,464635119152.89844,Brazil,BRA,1982,21.12,10.42,6.71,0.39,0.09,38.730000000000004,126498000,4899267540.000001,January,January-1982
3743.9469672163,484650190959.1828,Brazil,BRA,1983,21.5,10.14,6.68,0.45,0.07,38.84,129449000,5027799160,January,January-1983
3843.4484108547604,508811074422.5966,Brazil,BRA,1984,22.2,8.41,5.55,0.5,0.09,36.75,132384000,4865112000,January,January-1984
3866.72989556824,523068019893.0981,Brazil,BRA,1985,22.22,9.21,5.69,0.57,0.07,37.76,135274000,5107946240,January,January-1985
4643.9295445509,641368428316.9438,Brazil,BRA,1986,26.68,10.29,6.14,0.76,0.07,43.94,138108992,6068509108.48,January,January-1986
4363.29236943328,614752988514.1937,Brazil,BRA,1987,24.93,11.54,7.23,0.68,0.05,44.43,140892000,6259831560,January,January-1987
4297.334286896599,617217528958.3848,Brazil,BRA,1988,24.44,12.12,7.48,0.72,0.06,44.82000000000001,143628000,6437406960.000001,January,January-1988
4854.847372844761,710400106373.6282,Brazil,BRA,1989,27.81,12.9,7.2,0.74,0.06,48.71000000000001,146328000,7127636880.000001,January,January-1989
4815.387123601781,717507166101.1332,Brazil,BRA,1990,27.51,14.14,6.94,0.76,0.05,49.4,149003008,7360748595.2,January,January-1990
4980.58632490978,755295954999.9183,Brazil,BRA,1991,28.4,15.63,7.78,0.76,0.07,52.64,151648000,7982750720,January,January-1991
4981.925650192241,768506908728.4102,Brazil,BRA,1992,28.36,16.6,7.87,0.76,0.09,53.68,154259008,8280623549.44,January,January-1992
4944.161619684899,775486766332.6638,Brazil,BRA,1993,27.99,17.22,9.25,0.78,0.06,55.3,156848992,8673749257.6,January,January-1993
5372.4017117454605,856538079129.5004,Brazil,BRA,1994,30.45,18.85,10.41,0.79,0.06,60.559999999999995,159432992,9655261995.519999,January,January-1994
6058.2566145206,981558736684.6277,Brazil,BRA,1995,34.36,22.9,10.85,0.86,0.05,69.02,162020000,11182620400,January,January-1995
6420.938614283901,1056982861357.8533,Brazil,BRA,1996,36.89,21.71,11,0.62,0.03,70.25,164615008,11564204312,January,January-1996
6064.583218331782,1014052846837.3732,Brazil,BRA,1997,34.52,25,11.76,0.62,0.03,71.93,167208992,12027342794.560001,January,January-1997
5764.241451901122,978681688797.1003,Brazil,BRA,1998,32.56,25.57,13.45,0.61,0.03,72.22,169784992,12261872122.24,January,January-1998
6085.7568070643,1048691575922.5676,Brazil,BRA,1999,34.43,28.16,13.2,0.61,0.03,76.43,172319008,13170341781.44,January,January-1999
6178.535386271819,1079946200166.4513,Brazil,BRA,2000,34.87,29.59,13.85,0.63,0.04,78.97999999999999,174790000,13804914199.999998,January,January-2000
6057.559587351381,1073375328640.3153,Brazil,BRA,2001,34.28,28.5,12.98,0.59,0.03,76.38000000000001,177196000,13534230480.000002,January,January-2001
6171.3780590836395,1107996873971.7585,Brazil,BRA,2002,34.94,30.78,12.37,0.57,0.03,78.69,179538000,14127845220,January,January-2002
5927.7995716757205,1077727264904.3945,Brazil,BRA,2003,33.34,32.42,13.33,0.55,0.03,79.67,181808992,14484722392.64,January,January-2003
5958.75862597472,1096447339731.1044,Brazil,BRA,2004,33.43,34.15,13.02,0.59,0.02,81.21,184006000,14943127259.999998,January,January-2004
6327.060766363,1177636889877.3323,Brazil,BRA,2005,36.15,27.54,10.22,0.59,0.02,74.52,186127008,13870184636.16,January,January-2005
6427.71294428712,1209483513009.3782,Brazil,BRA,2006,36.61,29.59,11.06,0.6,0.04,77.9,188167008,14658209923.2,January,January-2006
6536.952049996259,1242870693265.7888,Brazil,BRA,2007,37.19,31.68,11.02,0.6,0.05,80.53999999999999,190130000,15313070199.999998,January,January-2007
6614.837984848159,1270247338230.392,Brazil,BRA,2008,37.41,36.57,11.53,0.61,0.07,86.18999999999998,192030000,16551065699.999996,January,January-2008
6672.5146802381005,1293713907187.4421,Brazil,BRA,2009,37.83,35.04,11.68,0.6,0.07,85.22,193887008,16523050821.76,January,January-2009
6839.34138664498,1338554860145.8357,Brazil,BRA,2010,38.69,37.74,12.33,0.6,0.1,89.46,195714000,17508574440,January,January-2010
6924.509879396121,1367694624225.004,Brazil,BRA,2011,39.07,40.63,12.57,0.6,0.11,92.98,197515008,18364945443.84,January,January-2011
6969.596935540441,1388950120249.8235,Brazil,BRA,2012,39.32,40.84,12.65,0.61,0.11,93.53,199287008,18639313858.24,January,January-2012
6988.807468956261,1405001898329.0908,Brazil,BRA,2013,39.25,45,12.6,0.62,0.11,97.58,201036000,19617092880,January,January-2013
6902.55450472258,1399589561595.569,Brazil,BRA,2014,38.79,44.49,12,0.61,0.35,96.24,202764000,19514007360,January,January-2014
6779.350923450561,1386187442019.7832,Brazil,BRA,2015,37.92,46.16,12.86,0.6,0.34,97.88,204472000,20013719360,January,January-2015
6631.75542906964,1367222647577.3276,Brazil,BRA,2016,37,46.32,13.04,0.6,0.3,97.25999999999998,206163008,20051414158.079994,January,January-2016
6659.319304683719,1384032968369.636,Brazil,BRA,2017,37.05,48.03,13.65,0.6,0.51,99.84,207834000,20750146560,January,January-2017
6674.0442574578,121694522990.48552,Canada,CAN,1961,36.64,13.85,26.27,1.62,0.25,78.63000000000001,18234000,1433739420.0000002,January,January-1961
6718.337646799179,124940925217.52434,Canada,CAN,1962,36.83,13.87,26.01,1.71,0.04,78.46,18597000,1459120620,January,January-1962
6955.0265198140805,131749067364.83813,Canada,CAN,1963,38.08,14.91,26.27,1.83,0.01,81.1,18943000,1536277300,January,January-1963
7349.346521835119,141724798327.06845,Canada,CAN,1964,40.66,15.73,27.45,1.58,0.01,85.43,19284000,1647432120.0000002,January,January-1964
7688.555127674201,150910960045.98923,Canada,CAN,1965,43.14,16.39,25.12,1.33,0.02,86,19628000,1688008000,January,January-1965
7631.20882356352,152441027459.50488,Canada,CAN,1966,42.47,17.73,25.1,1.56,0.16,87.02000000000001,19976000,1738311520.0000002,January,January-1966
